#Wvn[cm-1]  Maximum_calculated_depth
#Wavenumber (cm-1)  Radius at max. calculated depth (cm)
3057.94449          9706169000
3058.14449          9706169000
3058.34449          9686169000
3058.54449          9756169000
3058.74449          9726169000
3058.94449          9676169000
3059.14449          9686169000
3059.34449          9796169000
3059.54449          9686169000
3059.74449          9746169000
3059.94449          9706169000
3060.14449          9706169000
3060.34449          9616169000
3060.54449          9656169000
3060.74449          9696169000
3060.94449          9656169000
3061.14449          9616169000
3061.34449          9776169000
3061.54449          9696169000
3061.74449          9646169000
3061.94449          9656169000
3062.14449          9666169000
3062.34449          9736169000
3062.54449          9746169000
3062.74449          9716169000
3062.94449          9666169000
3063.14449          9656169000
3063.34449          9676169000
3063.54449          9676169000
3063.74449          9696169000
3063.94449          9646169000
3064.14449          9656169000
3064.34449          9686169000
3064.54449          9836169000
3064.74449          9686169000
3064.94449          9646169000
3065.14449          9666169000
3065.34449          9636169000
3065.54449          9616169000
3065.74449          9776169000
3065.94449          9606169000
3066.14449          9676169000
3066.34449          9756169000
3066.54449          9726169000
3066.74449          9576169000
3066.94449          9606169000
3067.14449          9816169000
3067.34449          9666169000
3067.54449          9696169000
3067.74449          9636169000
3067.94449          9686169000
3068.14449          9686169000
3068.34449          9646169000
3068.54449          9656169000
3068.74449          9656169000
3068.94449          9726169000
3069.14449          9656169000
3069.34449          9656169000
3069.54449          9826169000
3069.74449          9746169000
3069.94449          9666169000
3070.14449          9616169000
3070.34449          9646169000
3070.54449          9606169000
3070.74449          9686169000
3070.94449          9646169000
3071.14449          9656169000
3071.34449          9636169000
3071.54449          9686169000
3071.74449          9666169000
3071.94449          9666169000
3072.14449          9636169000
3072.34449          9616169000
3072.54449          9726169000
3072.74449          9666169000
3072.94449          9666169000
3073.14449          9686169000
3073.34449          9686169000
3073.54449          9656169000
3073.74449          9666169000
3073.94449          9736169000
3074.14449          9636169000
3074.34449          9656169000
3074.54449          9646169000
3074.74449          9706169000
3074.94449          9746169000
3075.14449          9686169000
3075.34449          9676169000
3075.54449          9666169000
3075.74449          9716169000
3075.94449          9676169000
3076.14449          9656169000
3076.34449          9726169000
3076.54449          9686169000
3076.74449          9666169000
3076.94449          9776169000
3077.14449          9616169000
3077.34449          9676169000
3077.54449          9736169000
3077.74449          9646169000
3077.94449          9746169000
3078.14449          9746169000
3078.34449          9686169000
3078.54449          9676169000
3078.74449          9676169000
3078.94449          9676169000
3079.14449          9726169000
3079.34449          9816169000
3079.54449          9756169000
3079.74449          9786169000
3079.94449          9746169000
3080.14449          9656169000
3080.34449          9686169000
3080.54449          9656169000
3080.74449          9656169000
3080.94449          9746169000
3081.14449          9666169000
3081.34449          9756169000
3081.54449          9756169000
3081.74449          9676169000
3081.94449          9696169000
3082.14449          9736169000
3082.34449          9716169000
3082.54449          9736169000
3082.74449          9796169000
3082.94449          9716169000
3083.14449          9616169000
3083.34449          9736169000
3083.54449          9716169000
3083.74449          9676169000
3083.94449          9716169000
3084.14449          9736169000
3084.34449          9686169000
3084.54449          9656169000
3084.74449          9646169000
3084.94449          9706169000
3085.14449          9656169000
3085.34449          9766169000
3085.54449          9806169000
3085.74449          9816169000
3085.94449          9786169000
3086.14449          9736169000
3086.34449          9736169000
3086.54449          9656169000
3086.74449          9656169000
3086.94449          9676169000
3087.14449          9756169000
3087.34449          9766169000
3087.54449          9626169000
3087.74449          9696169000
3087.94449          9696169000
3088.14449          9696169000
3088.34449          9756169000
3088.54449          9766169000
3088.74449          9706169000
3088.94449          9716169000
3089.14449          9626169000
3089.34449          9726169000
3089.54449          9706169000
3089.74449          9646169000
3089.94449          9626169000
3090.14449          9706169000
3090.34449          9656169000
3090.54449          9736169000
3090.74449          9736169000
3090.94449          9736169000
3091.14449          9706169000
3091.34449          9686169000
3091.54449          9686169000
3091.74449          9726169000
3091.94449          9696169000
3092.14449          9656169000
3092.34449          9686169000
3092.54449          9766169000
3092.74449          9686169000
3092.94449          9766169000
3093.14449          9676169000
3093.34449          9636169000
3093.54449          9786169000
3093.74449          9806169000
3093.94449          9786169000
3094.14449          9696169000
3094.34449          9686169000
3094.54449          9706169000
3094.74449          9716169000
3094.94449          9646169000
3095.14449          9656169000
3095.34449          9656169000
3095.54449          9656169000
3095.74449          9626169000
3095.94449          9756169000
3096.14449          9776169000
3096.34449          9666169000
3096.54449          9676169000
3096.74449          9706169000
3096.94449          9776169000
3097.14449          9776169000
3097.34449          9836169000
3097.54449          9616169000
3097.74449          9636169000
3097.94449          9706169000
3098.14449          9746169000
3098.34449          9666169000
3098.54449          9666169000
3098.74449          9666169000
3098.94449          9746169000
3099.14449          9656169000
3099.34449          9736169000
3099.54449          9776169000
3099.74449          9766169000
3099.94449          9756169000
3100.14449          9656169000
3100.34449          9656169000
3100.54449          9646169000
3100.74449          9626169000
3100.94449          9776169000
3101.14449          9796169000
3101.34449          9776169000
3101.54449          9776169000
3101.74449          9706169000
3101.94449          9786169000
3102.14449          9746169000
3102.34449          9756169000
3102.54449          9716169000
3102.74449          9796169000
3102.94449          9676169000
3103.14449          9766169000
3103.34449          9636169000
3103.54449          9676169000
3103.74449          9646169000
3103.94449          9676169000
3104.14449          9646169000
3104.34449          9686169000
3104.54449          9656169000
3104.74449          9686169000
3104.94449          9716169000
3105.14449          9746169000
3105.34449          9626169000
3105.54449          9716169000
